,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DEP,Department of Environmental Protection,1016467502,MANHATTAN,,,NEW YORK,2020-03-19T06:43:00.000,11 MANHATTAN,Noise,2020-03-19T00:00:00.000,3 AVE,2 AVE,Noise: Construction Before/After Hours (NM1),,N/A,215 EAST   96 STREET,10128,,,,40.7847948415243,"{'type': 'Point', 'coordinates': [-73.94836927652459, 40.7847948415243]}",,,,,,-73.94836927652459,PHONE,MANHATTAN,Unspecified,2020-03-19T06:43:00.000,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,Closed,EAST   96 STREET,,,45863407,,998548,225203
1,,NYPD,New York City Police Department,4050377507,QUEENS,,,FLUSHING,2020-03-19T02:54:20.000,07 QUEENS,Noise - Residential,2020-03-19T00:00:00.000,COLLEGE POINT BOULEVARD,MAIN STREET,Loud Talking,,,133-45 41 AVENUE,11355,COLLEGE POINT BOULEVARD,MAIN STREET,41 AVENUE,40.75785426322421,"{'type': 'Point', 'coordinates': [-73.8302519671535, 40.75785426322421]}",,,,Residential Building/House,,-73.8302519671535,MOBILE,QUEENS,Unspecified,2020-03-19T06:54:25.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,41 AVENUE,,,45855812,,1031277,215429
2,,NYPD,New York City Police Department,3039290001,BROOKLYN,,,BROOKLYN,2020-03-19T00:31:13.000,05 BROOKLYN,Blocked Driveway,2020-03-19T00:00:11.000,RIDGEWOOD AVENUE,ARLINGTON AVENUE,No Access,,,149 SHEPHERD AVENUE,11208,RIDGEWOOD AVENUE,ARLINGTON AVENUE,SHEPHERD AVENUE,40.68150490291846,"{'type': 'Point', 'coordinates': [-73.88216658936715, 40.68150490291846]}",,,,Street/Sidewalk,,-73.88216658936715,ONLINE,BROOKLYN,Unspecified,2020-03-19T04:31:24.000,Your request can not be processed at this time because of insufficient contact information. Please c,,Closed,SHEPHERD AVENUE,,,45856321,,1016932,187589
3,,NYPD,New York City Police Department,3053800081,BROOKLYN,,,BROOKLYN,2020-03-19T03:17:31.000,12 BROOKLYN,Blocked Driveway,2020-03-19T00:00:38.000,16 AVENUE,17 AVENUE,No Access,,,1621 43 STREET,11204,16 AVENUE,17 AVENUE,43 STREET,40.63396647772302,"{'type': 'Point', 'coordinates': [-73.98128662339575, 40.63396647772302]}",,,,Street/Sidewalk,,-73.98128662339575,PHONE,BROOKLYN,Unspecified,2020-03-19T07:17:38.000,The Police Department issued a summons in response to the complaint.,,Closed,43 STREET,,,45855051,,989444,170248
4,,NYPD,New York City Police Department,1018250001,MANHATTAN,,,NEW YORK,2020-03-19T00:59:26.000,10 MANHATTAN,Noise - Street/Sidewalk,2020-03-19T00:01:35.000,WEST  115 STREET,ADAM CLAYTON POWELL JR BOULEVARD,Loud Talking,,,100 ST NICHOLAS AVENUE,10026,WEST  115 STREET,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,40.802511145593044,"{'type': 'Point', 'coordinates': [-73.95259603059554, 40.802511145593044]}",,,,Street/Sidewalk,,-73.95259603059554,ONLINE,MANHATTAN,Unspecified,2020-03-19T04:59:29.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,ST NICHOLAS AVENUE,,,45855847,,997374,231657
5,,NYPD,New York City Police Department,3000370001,BROOKLYN,,,BROOKLYN,,02 BROOKLYN,Noise - Commercial,2020-03-19T00:01:48.000,HOWARD ALLEY,FRONT STREET,Car/Truck Horn,,,45 MAIN STREET,11201,HOWARD ALLEY,FRONT STREET,MAIN STREET,40.7027983927821,"{'type': 'Point', 'coordinates': [-73.99067693019475, 40.7027983927821]}",,,,Store/Commercial,,-73.99067693019475,MOBILE,BROOKLYN,Unspecified,,,,In Progress,MAIN STREET,,,45853028,,986835,195325
6,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,2020-03-19T01:25:00.000,Unspecified BROOKLYN,Traffic Signal Condition,2020-03-19T00:02:00.000,,,LED Lense,,N/A,,,DITMAS AVE,92 ST E,,,,,,,,,,UNKNOWN,BROOKLYN,Unspecified,2020-03-19T01:25:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,45855072,,,
7,,NYPD,New York City Police Department,,BROOKLYN,,,,2020-03-19T03:05:23.000,10 BROOKLYN,Illegal Parking,2020-03-19T00:02:04.000,71 STREET,NARROWS AVENUE,Parking Permit Improper Use,,,71 STREET,11209,71 STREET,NARROWS AVENUE,,40.63610643704346,"{'type': 'Point', 'coordinates': [-74.03472210181707, 40.63610643704346]}",,,,Street/Sidewalk,,-74.03472210181707,MOBILE,BROOKLYN,Unspecified,2020-03-19T07:05:30.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,71 STREET,,,45854630,,974613,171029
8,,NYPD,New York City Police Department,1015540048,MANHATTAN,,,NEW YORK,2020-03-19T00:43:25.000,08 MANHATTAN,Noise - Residential,2020-03-19T00:02:12.000,2 AVENUE,1 AVENUE,Loud Music/Party,,,304 EAST   92 STREET,10128,2 AVENUE,1 AVENUE,EAST   92 STREET,40.78150398173746,"{'type': 'Point', 'coordinates': [-73.94854153902952, 40.78150398173746]}",,,,Residential Building/House,,-73.94854153902952,PHONE,MANHATTAN,Unspecified,2020-03-19T04:43:27.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST   92 STREET,,,45851643,,998501,224004
9,,NYPD,New York City Police Department,1009010056,MANHATTAN,,,NEW YORK,2020-03-19T02:39:39.000,06 MANHATTAN,Noise - Residential,2020-03-19T00:02:59.000,3 AVENUE,2 AVENUE,Loud Talking,,,202 EAST   21 STREET,10010,3 AVENUE,2 AVENUE,EAST   21 STREET,40.737384328147535,"{'type': 'Point', 'coordinates': [-73.9837185584909, 40.737384328147535]}",,,,Residential Building/House,,-73.9837185584909,ONLINE,MANHATTAN,Unspecified,2020-03-19T06:39:45.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,EAST   21 STREET,,,45852422,,988762,207926
