,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,,NYPD,New York City Police Department,3049570061,BROOKLYN,,,BROOKLYN,2020-03-23T00:59:14.000,17 BROOKLYN,Noise - Vehicle,2020-03-23T00:00:11.000,CLARENDON ROAD,AVENUE D,Car/Truck Music,,,539 EAST   40 STREET,11203,CLARENDON ROAD,AVENUE D,EAST   40 STREET,40.64242501166108,"{'type': 'Point', 'coordinates': [-73.93906391001967, 40.64242501166108]}",,,,Street/Sidewalk,,-73.93906391001967,ONLINE,BROOKLYN,Unspecified,2020-03-23T04:59:19.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST   40 STREET,,,45878392,1001161,173335
1,,NYPD,New York City Police Department,5026200348,STATEN ISLAND,,,STATEN ISLAND,2020-03-23T01:00:50.000,02 STATEN ISLAND,Illegal Parking,2020-03-23T00:00:26.000,VICTORY BOULEVARD,SIMMONS LOOP,Blocked Hydrant,,,32 SIMMONS LANE,10314,VICTORY BOULEVARD,SIMMONS LOOP,SIMMONS LANE,40.594464278465935,"{'type': 'Point', 'coordinates': [-74.18497436935063, 40.594464278465935]}",,,,Street/Sidewalk,,-74.18497436935063,MOBILE,STATEN ISLAND,Unspecified,2020-03-23T05:00:56.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,SIMMONS LANE,,,45877586,932879,155910
2,,NYPD,New York City Police Department,3034890001,BROOKLYN,,,BROOKLYN,2020-03-23T05:33:19.000,16 BROOKLYN,Noise - Residential,2020-03-23T00:01:20.000,DEAD END,PITKIN AVENUE,Loud Music/Party,,,61 THATFORD AVENUE,11212,DEAD END,PITKIN AVENUE,THATFORD AVENUE,40.67011989965179,"{'type': 'Point', 'coordinates': [-73.90986465607668, 40.67011989965179]}",,,,Residential Building/House,,-73.90986465607668,MOBILE,BROOKLYN,Unspecified,2020-03-23T09:33:26.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,THATFORD AVENUE,,,45875964,1009254,183432
3,ADDRESS,DEP,Department of Environmental Protection,4161950055,QUEENS,,,Rockaway Park,2020-03-23T01:50:00.000,14 QUEENS,Sewer,2020-03-23T00:02:00.000,CRONSTON AVE,BEACH CHANNEL DR,Sewer Odor (SA2),,,534 BEACH  128 STREET,11694,,,,40.5806892422038,"{'type': 'Point', 'coordinates': [-73.84967073535064, 40.5806892422038]}",,,,,,-73.84967073535064,ONLINE,QUEENS,Unspecified,2020-03-23T01:50:00.000,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,,Closed,BEACH  128 STREET,,,45879974,1026008,150873
4,,NYPD,New York City Police Department,,MANHATTAN,,,,2020-03-23T05:14:03.000,02 MANHATTAN,Noise - Vehicle,2020-03-23T00:02:06.000,BROOME STREET,VARICK STREET,Car/Truck Music,,,BROOME STREET,10013,BROOME STREET,VARICK STREET,,40.724402629306745,"{'type': 'Point', 'coordinates': [-74.00603941130332, 40.724402629306745]}",,,,,,-74.00603941130332,PHONE,MANHATTAN,Unspecified,2020-03-23T09:14:09.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,BROOME STREET,,,45877680,982576,203196
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3042719001,BROOKLYN,,,BROOKLYN,2020-03-23T00:02:31.000,05 BROOKLYN,Rodent,2020-03-23T00:02:31.000,DUMONT AVENUE,LINDEN BOULEVARD,Mouse Sighting,,,790 ELDERT LANE,11208,DUMONT AVENUE,LINDEN BOULEVARD,ELDERT LANE,40.67055409879978,"{'type': 'Point', 'coordinates': [-73.8631053928292, 40.67055409879978]}",,,,3+ Family Apt. Building,,-73.8631053928292,MOBILE,BROOKLYN,Unspecified,2020-03-23T00:02:31.000,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,,Closed,ELDERT LANE,,,45876998,1022225,183607
6,,NYPD,New York City Police Department,3012870028,BROOKLYN,,,BROOKLYN,2020-03-23T04:13:09.000,09 BROOKLYN,Noise - Commercial,2020-03-23T00:02:33.000,FRANKLIN AVENUE,BEDFORD AVENUE,Banging/Pounding,,,1016 CARROLL STREET,11225,FRANKLIN AVENUE,BEDFORD AVENUE,CARROLL STREET,40.66770996768325,"{'type': 'Point', 'coordinates': [-73.95742120985392, 40.66770996768325]}",,,,Store/Commercial,,-73.95742120985392,MOBILE,BROOKLYN,Unspecified,2020-03-23T08:13:16.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,CARROLL STREET,,,45876498,996062,182544
7,,NYPD,New York City Police Department,4034830016,QUEENS,,,RIDGEWOOD,2020-03-23T02:25:04.000,05 QUEENS,Noise - Residential,2020-03-23T00:03:09.000,CORNELIA STREET,68 AVENUE,Loud Talking,,,67-28 FOREST AVENUE,11385,CORNELIA STREET,68 AVENUE,FOREST AVENUE,40.70395621222699,"{'type': 'Point', 'coordinates': [-73.90164619644659, 40.70395621222699]}",,,,Residential Building/House,,-73.90164619644659,PHONE,QUEENS,Unspecified,2020-03-23T06:25:10.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,FOREST AVENUE,,,45878220,1011520,195762
8,,NYPD,New York City Police Department,4104460008,QUEENS,,,HOLLIS,2020-03-23T03:09:42.000,12 QUEENS,Blocked Driveway,2020-03-23T00:04:06.000,90 AVENUE,JAMAICA AVENUE,No Access,,,90-15 190 STREET,11423,90 AVENUE,JAMAICA AVENUE,190 STREET,40.71305705431898,"{'type': 'Point', 'coordinates': [-73.7701515976585, 40.71305705431898]}",,,,Street/Sidewalk,,-73.7701515976585,MOBILE,QUEENS,Unspecified,2020-03-23T07:09:46.000,The Police Department issued a summons in response to the complaint.,,Closed,190 STREET,,,45879271,1047970,199146
9,,NYPD,New York City Police Department,4001740001,QUEENS,,,SUNNYSIDE,2020-03-23T01:41:16.000,02 QUEENS,Illegal Parking,2020-03-23T00:05:09.000,47 AVENUE,GREENPOINT AVENUE,Commercial Overnight Parking,,,47-05 42 STREET,11104,47 AVENUE,GREENPOINT AVENUE,42 STREET,40.741328549338704,"{'type': 'Point', 'coordinates': [-73.92284982553112, 40.741328549338704]}",,,,Street/Sidewalk,,-73.92284982553112,MOBILE,QUEENS,Unspecified,2020-03-23T05:41:21.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,42 STREET,,,45877591,1005629,209372
